path,is_egg,fertility
/content/testing/dead.dead-820.jpg.4gb9ekep.ingestion-6bf64f87d9-gzjsg.jpg,1,dead
/content/testing/dead.dead-1358 Small.png.4gb9ekj3.ingestion-6bf64f87d9-gzjsg.jpg,1,dead
/content/testing/dead.dead-1028 Small.png.4gb9eku6.ingestion-6bf64f87d9-nkxcl.jpg,1,dead
/content/testing/dead.dead-773.jpg.4gb9el0l.ingestion-6bf64f87d9-nkxcl.jpg,1,dead
/content/testing/dead.dead-78.jpg.4gb9el42.ingestion-6bf64f87d9-gzjsg.jpg,1,dead
/content/testing/dead.dead-607.jpg.4gb9elr3.ingestion-6bf64f87d9-nkxcl.jpg,1,dead
/content/testing/dead.dead-363.jpg.4gb9em4k.ingestion-6bf64f87d9-gzjsg.jpg,1,dead
/content/testing/dead.dead-388.jpg.4gb9emaf.ingestion-6bf64f87d9-gzjsg.jpg,1,dead
/content/testing/dead.dead-1336 Small.png.4gb9emf3.ingestion-6bf64f87d9-q9rsg.jpg,1,dead
/content/testing/dead.dead-999 Small.png.4gb9emlr.ingestion-6bf64f87d9-q9rsg.jpg,1,dead
/content/testing/dead.dead-404.jpg.4gb9en0k.ingestion-6bf64f87d9-gzjsg.jpg,1,dead
/content/testing/dead.dead-1121 Small.png.4gb9enaf.ingestion-6bf64f87d9-nkxcl.jpg,1,dead
/content/testing/dead.dead-1251 Small.png.4gb9enok.ingestion-6bf64f87d9-q9rsg.jpg,1,dead
/content/testing/dead.dead-772.jpg.4gb9eo1i.ingestion-6bf64f87d9-nkxcl.jpg,1,dead
/content/testing/dead.dead-1298 Small.png.4gb9eo98.ingestion-6bf64f87d9-nkxcl.jpg,1,dead
/content/testing/dead.dead-955.jpg.4gb9eolr.ingestion-6bf64f87d9-q9rsg.jpg,1,dead
/content/testing/dead.dead-216.jpg.4gb9ep3f.ingestion-6bf64f87d9-q9rsg.jpg,1,dead
/content/testing/dead.dead-599.jpg.4gb9epgu.ingestion-6bf64f87d9-q9rsg.jpg,1,dead
/content/testing/dead.dead-572.jpg.4gb9epi5.ingestion-6bf64f87d9-q9rsg.jpg,1,dead
/content/testing/dead.dead-758.jpg.4gb9epqf.ingestion-6bf64f87d9-gzjsg.jpg,1,dead
/content/testing/dead.dead-1096 Small.png.4gb9eq01.ingestion-6bf64f87d9-nkxcl.jpg,1,dead
